1.341,0.445,1.379,0.489,1.428,0.518,1.561,0.437,1.435,0.458,1.531,0.506,1.595,0.59,1.529,0.456,1.464,0.481,1.48,0.425,1.577,0.476,1.575,0.366,1.487,0.54,1.589,0.533,1.528,0.394,1.54,0.572
1.373,0.409,1.366,0.508,1.428,0.522,1.566,0.433,1.422,0.453,1.536,0.515,1.627,0.613,1.52,0.458,1.482,0.482,1.476,0.42,1.583,0.476,1.573,0.36,1.487,0.541,1.607,0.535,1.53,0.394,1.541,0.591
1.402,0.376,1.356,0.526,1.425,0.526,1.568,0.431,1.425,0.439,1.544,0.52,1.664,0.635,1.537,0.465,1.483,0.477,1.475,0.417,1.591,0.475,1.578,0.349,1.495,0.546,1.621,0.535,1.528,0.393,1.529,0.592
1.434,0.345,1.345,0.541,1.424,0.531,1.569,0.43,1.421,0.435,1.55,0.527,1.673,0.642,1.539,0.465,1.486,0.477,1.472,0.412,1.589,0.474,1.591,0.334,1.487,0.545,1.634,0.532,1.531,0.393,1.529,0.608
1.469,0.312,1.334,0.554,1.421,0.536,1.572,0.43,1.42,0.432,1.555,0.532,1.696,0.661,1.539,0.469,1.485,0.476,1.469,0.406,1.594,0.473,1.596,0.327,1.483,0.545,1.648,0.531,1.533,0.391,1.526,0.616
1.499,0.285,1.325,0.567,1.419,0.539,1.575,0.425,1.418,0.425,1.561,0.539,1.718,0.671,1.544,0.471,1.489,0.473,1.467,0.402,1.601,0.471,1.603,0.313,1.483,0.545,1.665,0.531,1.537,0.387,1.527,0.629
1.532,0.258,1.314,0.583,1.416,0.545,1.577,0.423,1.413,0.42,1.565,0.548,1.759,0.698,1.546,0.475,1.489,0.473,1.462,0.396,1.606,0.472,1.611,0.302,1.479,0.544,1.679,0.533,1.54,0.385,1.522,0.642
1.569,0.23,1.306,0.595,1.414,0.55,1.58,0.422,1.411,0.414,1.573,0.552,1.764,0.7,1.546,0.476,1.49,0.473,1.462,0.391,1.611,0.472,1.62,0.295,1.479,0.544,1.693,0.535,1.544,0.381,1.522,0.651
1.606,0.203,1.294,0.609,1.413,0.554,1.581,0.418,1.407,0.409,1.576,0.558,1.779,0.705,1.537,0.476,1.489,0.469,1.458,0.386,1.616,0.471,1.621,0.288,1.478,0.543,1.705,0.535,1.545,0.381,1.542,0.667
1.642,0.175,1.284,0.623,1.41,0.561,1.585,0.417,1.405,0.403,1.583,0.563,1.821,0.731,1.555,0.481,1.492,0.469,1.456,0.382,1.621,0.471,1.626,0.274,1.475,0.541,1.719,0.528,1.541,0.384,1.545,0.687
1.68,0.146,1.273,0.636,1.408,0.567,1.585,0.414,1.402,0.4,1.588,0.57,1.832,0.74,1.555,0.483,1.494,0.468,1.453,0.376,1.624,0.467,1.633,0.274,1.484,0.545,1.737,0.528,1.546,0.38,1.533,0.68
1.712,0.122,1.264,0.649,1.406,0.572,1.591,0.412,1.4,0.392,1.595,0.575,1.833,0.746,1.554,0.483,1.495,0.468,1.449,0.372,1.627,0.462,1.643,0.263,1.475,0.537,1.75,0.532,1.55,0.38,1.533,0.693
1.753,0.092,1.255,0.662,1.405,0.576,1.591,0.408,1.395,0.388,1.598,0.582,1.871,0.77,1.554,0.487,1.494,0.465,1.448,0.368,1.633,0.462,1.639,0.259,1.474,0.536,1.766,0.532,1.552,0.378,1.532,0.708
1.786,0.067,1.245,0.675,1.403,0.581,1.594,0.409,1.393,0.386,1.604,0.587,1.893,0.78,1.56,0.49,1.496,0.463,1.447,0.364,1.641,0.458,1.646,0.243,1.476,0.533,1.781,0.531,1.554,0.376,1.531,0.725
1.822,0.038,1.234,0.688,1.402,0.585,1.595,0.405,1.389,0.378,1.61,0.593,1.914,0.794,1.563,0.49,1.497,0.463,1.444,0.358,1.651,0.458,1.657,0.236,1.478,0.531,1.792,0.529,1.555,0.375,1.517,0.727
1.858,0.035,1.226,0.699,1.401,0.59,1.598,0.404,1.386,0.373,1.615,0.598,1.909,0.8,1.564,0.494,1.497,0.461,1.44,0.353,1.657,0.459,1.665,0.223,1.478,0.529,1.8,0.528,1.559,0.374,1.518,0.74
1.886,0.052,1.217,0.714,1.399,0.595,1.598,0.403,1.386,0.368,1.622,0.604,1.887,0.825,1.568,0.494,1.498,0.461,1.438,0.35,1.664,0.457,1.659,0.218,1.482,0.525,1.823,0.529,1.56,0.373,1.515,0.748
1.909,0.075,1.207,0.725,1.398,0.599,1.601,0.401,1.383,0.362,1.626,0.61,1.89,0.825,1.57,0.496,1.498,0.461,1.438,0.345,1.671,0.457,1.66,0.214,1.483,0.524,1.833,0.531,1.564,0.37,1.515,0.758
1.897,0.074,1.196,0.741,1.396,0.601,1.602,0.397,1.382,0.355,1.631,0.615,1.874,0.837,1.573,0.497,1.499,0.458,1.433,0.34,1.68,0.454,1.667,0.204,1.485,0.523,1.844,0.53,1.564,0.368,1.514,0.77
1.868,0.076,1.187,0.752,1.396,0.607,1.605,0.398,1.377,0.349,1.636,0.621,1.865,0.834,1.577,0.498,1.498,0.458,1.434,0.336,1.686,0.453,1.674,0.195,1.487,0.523,1.855,0.53,1.568,0.367,1.509,0.781
1.849,0.074,1.176,0.764,1.392,0.608,1.606,0.394,1.375,0.344,1.641,0.626,1.845,0.855,1.577,0.503,1.502,0.457,1.43,0.333,1.671,0.461,1.673,0.189,1.488,0.522,1.87,0.527,1.569,0.364,1.511,0.79
1.827,0.073,1.168,0.778,1.392,0.613,1.607,0.393,1.372,0.34,1.644,0.63,1.842,0.864,1.58,0.502,1.501,0.457,1.43,0.329,1.676,0.458,1.682,0.176,1.49,0.522,1.884,0.525,1.571,0.362,1.51,0.802
1.81,0.07,1.158,0.79,1.39,0.617,1.609,0.392,1.371,0.336,1.65,0.635,1.833,0.874,1.576,0.507,1.501,0.456,1.429,0.324,1.681,0.452,1.692,0.165,1.491,0.52,1.899,0.528,1.571,0.36,1.508,0.816
1.792,0.067,1.149,0.802,1.389,0.621,1.61,0.391,1.367,0.331,1.654,0.64,1.831,0.878,1.582,0.508,1.502,0.455,1.428,0.32,1.685,0.452,1.699,0.153,1.492,0.52,1.909,0.529,1.574,0.357,1.52,0.818
1.773,0.064,1.14,0.814,1.387,0.624,1.613,0.391,1.366,0.326,1.659,0.645,1.81,0.897,1.58,0.508,1.502,0.455,1.425,0.316,1.693,0.45,1.7,0.148,1.492,0.519,1.914,0.528,1.576,0.355,1.52,0.828
1.755,0.064,1.131,0.827,1.385,0.627,1.613,0.389,1.362,0.321,1.664,0.65,1.79,0.914,1.579,0.51,1.503,0.454,1.425,0.312,1.698,0.448,1.705,0.138,1.493,0.521,1.912,0.532,1.577,0.354,1.519,0.839
1.738,0.062,1.122,0.838,1.384,0.632,1.617,0.388,1.362,0.316,1.669,0.656,1.786,0.913,1.582,0.513,1.503,0.453,1.422,0.31,1.703,0.448,1.713,0.131,1.494,0.52,1.903,0.533,1.578,0.352,1.52,0.85
1.727,0.056,1.114,0.853,1.381,0.634,1.617,0.385,1.358,0.312,1.672,0.66,1.771,0.923,1.584,0.514,1.503,0.454,1.42,0.306,1.708,0.446,1.721,0.124,1.493,0.521,1.896,0.532,1.579,0.349,1.519,0.865
1.709,0.054,1.103,0.865,1.38,0.64,1.616,0.385,1.356,0.309,1.678,0.665,1.763,0.921,1.583,0.514,1.505,0.452,1.417,0.302,1.712,0.446,1.724,0.119,1.491,0.524,1.886,0.535,1.58,0.347,1.52,0.881
1.689,0.053,1.094,0.875,1.379,0.643,1.617,0.383,1.355,0.306,1.683,0.669,1.742,0.926,1.584,0.517,1.505,0.453,1.417,0.298,1.716,0.444,1.726,0.106,1.491,0.521,1.882,0.531,1.582,0.346,1.504,0.878
1.669,0.052,1.085,0.889,1.378,0.646,1.621,0.383,1.354,0.301,1.685,0.673,1.717,0.926,1.584,0.517,1.503,0.452,1.416,0.293,1.721,0.443,1.734,0.101,1.491,0.522,1.873,0.532,1.582,0.344,1.504,0.891
1.651,0.053,1.076,0.899,1.376,0.649,1.619,0.382,1.351,0.295,1.692,0.679,1.729,0.919,1.585,0.518,1.505,0.451,1.413,0.29,1.723,0.443,1.729,0.095,1.495,0.521,1.861,0.537,1.582,0.342,1.501,0.893
1.637,0.046,1.067,0.912,1.376,0.653,1.621,0.38,1.347,0.289,1.694,0.683,1.718,0.917,1.586,0.519,1.505,0.452,1.412,0.286,1.726,0.441,1.733,0.089,1.495,0.521,1.853,0.537,1.584,0.34,1.502,0.901
1.619,0.043,1.057,0.924,1.373,0.658,1.622,0.38,1.346,0.286,1.7,0.686,1.708,0.911,1.586,0.52,1.506,0.452,1.411,0.285,1.728,0.44,1.739,0.074,1.493,0.522,1.843,0.54,1.584,0.338,1.5,0.914
1.601,0.044,1.05,0.935,1.372,0.661,1.621,0.378,1.344,0.283,1.703,0.691,1.699,0.907,1.587,0.522,1.505,0.45,1.407,0.28,1.731,0.439,1.749,0.065,1.494,0.522,1.844,0.541,1.585,0.338,1.499,0.922
1.583,0.044,1.042,0.936,1.373,0.663,1.621,0.376,1.34,0.279,1.707,0.696,1.689,0.9,1.589,0.524,1.505,0.452,1.406,0.277,1.733,0.438,1.741,0.063,1.494,0.521,1.834,0.541,1.585,0.336,1.498,0.934
1.57,0.038,1.036,0.928,1.371,0.666,1.624,0.376,1.341,0.273,1.711,0.7,1.679,0.895,1.59,0.524,1.507,0.451,1.405,0.276,1.736,0.438,1.746,0.058,1.492,0.522,1.835,0.542,1.587,0.336,1.491,0.939
1.552,0.038,1.028,0.922,1.37,0.666,1.625,0.375,1.337,0.27,1.714,0.703,1.686,0.889,1.59,0.525,1.506,0.451,1.404,0.271,1.738,0.437,1.751,0.048,1.493,0.522,1.827,0.544,1.586,0.333,1.494,0.935
1.537,0.033,1.021,0.916,1.369,0.67,1.625,0.375,1.336,0.267,1.719,0.708,1.667,0.881,1.59,0.526,1.505,0.451,1.405,0.266,1.737,0.438,1.752,0.041,1.494,0.521,1.822,0.544,1.587,0.332,1.494,0.93
1.517,0.035,1.015,0.908,1.37,0.675,1.625,0.374,1.334,0.263,1.723,0.711,1.646,0.873,1.591,0.526,1.507,0.451,1.403,0.266,1.74,0.436,1.756,0.034,1.493,0.522,1.815,0.547,1.587,0.333,1.49,0.925
1.499,0.03,1.007,0.904,1.367,0.675,1.624,0.373,1.332,0.258,1.725,0.715,1.626,0.871,1.592,0.527,1.505,0.451,1.403,0.262,1.74,0.439,1.765,0.024,1.494,0.522,1.805,0.547,1.587,0.331,1.49,0.921
1.482,0.027,1.002,0.897,1.368,0.679,1.627,0.372,1.33,0.255,1.729,0.719,1.633,0.87,1.591,0.525,1.506,0.45,1.4,0.258,1.742,0.437,1.762,0.024,1.495,0.522,1.804,0.547,1.588,0.329,1.487,0.915
1.469,0.027,0.994,0.889,1.367,0.68,1.625,0.373,1.328,0.252,1.733,0.723,1.623,0.864,1.59,0.527,1.505,0.452,1.4,0.255,1.746,0.436,1.772,0.029,1.493,0.521,1.798,0.547,1.588,0.329,1.486,0.91
1.451,0.027,0.988,0.886,1.367,0.682,1.625,0.371,1.327,0.248,1.736,0.727,1.613,0.861,1.591,0.526,1.506,0.451,1.399,0.252,1.746,0.438,1.776,0.029,1.493,0.522,1.788,0.549,1.589,0.327,1.484,0.905
1.437,0.028,0.981,0.881,1.365,0.685,1.627,0.37,1.327,0.242,1.74,0.731,1.604,0.856,1.591,0.529,1.506,0.451,1.397,0.251,1.75,0.435,1.776,0.036,1.492,0.523,1.781,0.551,1.587,0.326,1.483,0.899
1.419,0.031,0.972,0.874,1.365,0.686,1.626,0.371,1.322,0.24,1.744,0.734,1.594,0.851,1.591,0.528,1.504,0.451,1.397,0.245,1.753,0.433,1.783,0.043,1.492,0.52,1.771,0.551,1.588,0.326,1.482,0.895
1.406,0.031,0.967,0.867,1.363,0.688,1.625,0.371,1.322,0.237,1.748,0.738,1.585,0.845,1.59,0.528,1.506,0.452,1.395,0.244,1.755,0.434,1.782,0.049,1.493,0.521,1.763,0.55,1.587,0.325,1.479,0.891
1.392,0.031,0.963,0.86,1.363,0.689,1.626,0.37,1.321,0.234,1.749,0.74,1.576,0.84,1.59,0.529,1.505,0.451,1.395,0.242,1.756,0.433,1.781,0.048,1.493,0.521,1.762,0.555,1.587,0.325,1.479,0.885
1.375,0.032,0.957,0.855,1.36,0.689,1.626,0.37,1.32,0.229,1.753,0.744,1.572,0.837,1.59,0.529,1.505,0.451,1.394,0.238,1.756,0.435,1.785,0.051,1.493,0.521,1.757,0.556,1.587,0.324,1.477,0.881
1.361,0.032,0.95,0.849,1.359,0.694,1.627,0.368,1.319,0.225,1.757,0.747,1.572,0.829,1.591,0.528,1.505,0.452,1.393,0.237,1.758,0.434,1.79,0.056,1.493,0.523,1.747,0.556,1.587,0.324,1.475,0.878
1.347,0.032,0.943,0.844,1.361,0.696,1.625,0.369,1.317,0.221,1.759,0.75,1.554,0.822,1.59,0.528,1.505,0.452,1.392,0.236,1.759,0.433,1.79,0.06,1.494,0.521,1.748,0.559,1.587,0.325,1.472,0.871
1.33,0.034,0.937,0.838,1.36,0.696,1.624,0.37,1.316,0.22,1.763,0.754,1.535,0.816,1.591,0.528,1.505,0.452,1.391,0.23,1.741,0.444,1.793,0.063,1.493,0.522,1.74,0.558,1.587,0.324,1.473,0.869
1.319,0.034,0.931,0.833,1.357,0.698,1.625,0.369,1.315,0.216,1.764,0.757,1.516,0.811,1.589,0.528,1.504,0.452,1.39,0.23,1.742,0.444,1.794,0.065,1.492,0.522,1.735,0.559,1.585,0.324,1.471,0.863
1.303,0.034,0.925,0.827,1.357,0.7,1.624,0.369,1.311,0.213,1.767,0.76,1.485,0.852,1.589,0.528,1.506,0.451,1.389,0.226,1.742,0.445,1.794,0.071,1.494,0.52,1.731,0.561,1.588,0.324,1.472,0.862
1.289,0.036,0.919,0.822,1.356,0.701,1.625,0.369,1.31,0.21,1.77,0.764,1.481,0.845,1.59,0.528,1.505,0.451,1.389,0.225,1.745,0.445,1.795,0.075,1.493,0.521,1.725,0.561,1.587,0.324,1.47,0.858
1.273,0.04,0.913,0.818,1.357,0.702,1.626,0.37,1.31,0.206,1.773,0.766,1.479,0.841,1.589,0.528,1.505,0.452,1.388,0.223,1.746,0.445,1.8,0.075,1.493,0.521,1.716,0.562,1.588,0.325,1.467,0.851
1.26,0.039,0.906,0.812,1.358,0.703,1.624,0.369,1.307,0.202,1.776,0.77,1.474,0.836,1.59,0.528,1.506,0.452,1.388,0.222,1.747,0.445,1.801,0.084,1.492,0.522,1.717,0.562,1.585,0.325,1.466,0.85
1.244,0.039,0.9,0.808,1.355,0.705,1.624,0.369,1.307,0.201,1.778,0.771,1.469,0.832,1.59,0.53,1.506,0.451,1.388,0.217,1.75,0.445,1.798,0.086,1.493,0.521,1.713,0.561,1.586,0.325,1.463,0.849
1.232,0.042,0.895,0.801,1.353,0.704,1.627,0.368,1.305,0.196,1.781,0.774,1.468,0.83,1.591,0.529,1.505,0.451,1.386,0.216,1.75,0.445,1.803,0.085,1.494,0.522,1.707,0.563,1.586,0.325,1.461,0.847
1.218,0.041,0.889,0.797,1.354,0.706,1.625,0.369,1.303,0.197,1.784,0.778,1.463,0.826,1.59,0.527,1.505,0.451,1.387,0.215,1.728,0.432,1.802,0.09,1.493,0.521,1.702,0.564,1.587,0.325,1.458,0.849
1.203,0.043,0.882,0.792,1.354,0.706,1.627,0.367,1.304,0.192,1.788,0.78,1.46,0.825,1.589,0.528,1.505,0.451,1.387,0.211,1.729,0.432,1.805,0.093,1.493,0.521,1.695,0.564,1.587,0.325,1.456,0.847
1.189,0.044,0.877,0.788,1.354,0.707,1.626,0.369,1.3,0.19,1.789,0.782,1.457,0.823,1.59,0.529,1.506,0.451,1.383,0.209,1.73,0.431,1.807,0.1,1.493,0.522,1.69,0.565,1.587,0.325,1.455,0.847
1.176,0.044,0.868,0.783,1.354,0.708,1.626,0.369,1.301,0.188,1.793,0.785,1.476,0.836,1.59,0.529,1.505,0.451,1.383,0.209,1.731,0.433,1.811,0.099,1.493,0.521,1.679,0.565,1.587,0.325,1.453,0.843
1.162,0.045,0.865,0.778,1.352,0.708,1.627,0.368,1.299,0.185,1.793,0.786,1.475,0.836,1.59,0.529,1.506,0.451,1.384,0.208,1.732,0.432,1.814,0.1,1.494,0.521,1.679,0.568,1.587,0.326,1.454,0.844
1.148,0.047,0.858,0.772,1.353,0.711,1.626,0.368,1.299,0.182,1.798,0.79,1.471,0.833,1.59,0.529,1.505,0.451,1.383,0.204,1.732,0.432,1.815,0.102,1.492,0.522,1.675,0.567,1.587,0.325,1.451,0.843
1.135,0.047,0.854,0.767,1.353,0.71,1.625,0.367,1.3,0.18,1.8,0.793,1.47,0.834,1.59,0.528,1.506,0.451,1.383,0.203,1.734,0.432,1.816,0.109,1.494,0.521,1.669,0.568,1.587,0.325,1.448,0.842
1.121,0.047,0.848,0.762,1.351,0.71,1.625,0.369,1.298,0.178,1.801,0.794,1.465,0.83,1.591,0.527,1.505,0.45,1.383,0.203,1.733,0.432,1.817,0.112,1.492,0.522,1.668,0.568,1.586,0.326,1.444,0.838
1.107,0.047,0.842,0.758,1.352,0.711,1.625,0.368,1.297,0.175,1.8,0.796,1.463,0.829,1.59,0.527,1.505,0.451,1.383,0.202,1.734,0.433,1.818,0.114,1.494,0.522,1.66,0.57,1.587,0.325,1.444,0.837
1.095,0.048,0.835,0.754,1.351,0.711,1.624,0.367,1.295,0.173,1.805,0.799,1.459,0.827,1.591,0.529,1.505,0.451,1.381,0.199,1.735,0.432,1.819,0.115,1.493,0.521,1.656,0.57,1.586,0.325,1.441,0.837
